"Fighter","Elo","PeakElo","Matches"
"Jon Jones",1297,1329,23
"Khabib Nurmagomedov",1275,1275,13
"Anderson Silva",1264,1264,24
"Demetrious Johnson",1261,1299,17
"Amanda Nunes",1256,1300,18
"Islam Makhachev",1245,1315,17
"Ilia Topuria",1245,1245,8
"Francis Ngannou",1240,1240,14
"Royce Gracie",1232,1232,9
"Kamaru Usman",1230,1230,18
"Khamzat Chimaev",1229,1229,8
"Dricus Du Plessis",1228,1228,9
"Don Frye",1224,1224,10
"Georges St-Pierre",1221,1246,22
"Tatiana Suarez",1220,1220,8
"Muhammad Mokaev",1217,1217,7
"Arnold Allen",1215,1215,13
"Alexander Volkanovski",1215,1215,16
"Tom Aspinall",1214,1214,9
"Jon Fitch",1214,1214,17
"Grant Dawson",1213,1213,12
"Rich Franklin",1211,1211,20
"Valentina Shevchenko",1208,1216,16
"Cain Velasquez",1208,1208,15
"Jack Della Maddalena",1206,1206,7
"Shavkat Rakhmonov",1202,1202,7
"Movsar Evloev",1200,1200,9
"Daniel Cormier",1200,1200,14
"Magomed Ankalaev",1199,1245,13
"Jailton Almeida",1199,1199,9
"Junior Dos Santos",1198,1198,23
"Vicente Luque",1197,1241,22
"Ronda Rousey",1195,1195,8
"Manon Fiorot",1194,1194,7
"Ciryl Gane",1192,1192,12
"Conor McGregor",1192,1192,14
"Alexandre Pantoja",1191,1210,16
"Arman Tsarukyan",1190,1207,11
"Chuck Liddell",1190,1223,23
"Song Yadong",1188,1188,14
"Ian Machado Garry",1188,1188,9
"Donald Cerrone",1185,1185,37
"Yoel Romero",1185,1185,13
"Joseph Benavidez",1184,1184,21
"Sean Brady",1183,1183,9
"Frank Shamrock",1183,1183,5
"Israel Adesanya",1181,1181,18
"Max Holloway",1181,1247,30
"Caio Borralho",1180,1180,7
"Dustin Poirier",1180,1189,30
"Alex Pereira",1179,1179,11
"Bryan Battle",1179,1179,8
"Lerone Murphy",1179,1179,7
"Paddy Pimblett",1179,1179,6
"Gregor Gillespie",1177,1177,8
"Erin Blanchfield",1176,1176,8
"Tatsuro Taira",1176,1176,7
"Natalia Silva",1174,1174,6
"Leonardo Santos",1173,1173,10
"Sean O'Malley",1172,1172,12
"Petr Yan",1171,1171,14
"Maycee Barber",1171,1171,11
"Matt Hughes",1171,1218,25
"Stipe Miocic",1170,1179,19
"Mairbek Taisumov",1170,1173,9
"Ricco Rodriguez",1169,1169,7
"Leon Edwards",1168,1211,18
"Cristiane Justino",1168,1168,7
"Dong Hyun Kim",1168,1168,17
"Deiveson Figueiredo",1167,1167,17
"Benson Henderson",1167,1167,14
"Phil Davis",1167,1167,12
"Pat Miletich",1166,1166,10
"Jim Miller",1163,1163,44
"Carlos Ulberg",1162,1205,9
"Zhang Weili",1162,1162,12
"Brandon Moreno",1161,1170,15
"Tony Ferguson",1161,1161,24
"Jean Silva",1159,1159,4
"Sean Strickland",1159,1159,23
"Giga Chikadze",1159,1159,10
"Germaine de Randamie",1159,1168,10
"Demian Maia",1159,1159,33
"Brendan Allen",1158,1166,16
"Umar Nurmagomedov",1156,1156,7
"Michael Morales",1156,1156,5
"Belal Muhammad",1156,1222,18
"Zabit Magomedsharipov",1156,1156,6
"Joel Alvarez",1155,1197,9
"Kyoji Horiguchi",1154,1154,8
"Nassourdine Imavov",1153,1188,10
"Rashad Evans",1153,1153,22
"Randy Couture",1153,1153,24
"Thiago Silva",1151,1151,10
"Elizeu Zaleski dos Santos",1150,1178,16
"Carlos Prates",1150,1150,4
"Rinat Fakhretdinov",1150,1150,5
"Roger Huerta",1149,1149,8
"Kenny Florian",1148,1187,17
"Mark Kerr",1148,1148,4
"Brian Ortega",1147,1147,12
"Montel Jackson",1147,1175,10
"Merab Dvalishvili",1146,1236,14
"Lyoto Machida",1146,1146,24
"Frankie Edgar",1145,1145,29
"Chad Mendes",1145,1152,14
"Elias Theodorou",1144,1144,11
"Vitor Belfort",1144,1144,25
"Gunnar Nelson",1143,1143,16
"Said Nurmagomedov",1143,1143,10
"Curtis Blaydes",1143,1171,18
"John Dodson",1143,1143,17
"George Sotiropoulos",1143,1143,11
"Evan Tanner",1142,1142,17
"Bryce Mitchell",1141,1141,10
"Marcus McGhee",1141,1141,4
"Robert Whittaker",1141,1183,23
"Glover Teixeira",1141,1147,23
"David Teymur",1141,1141,6
"Anthony Hernandez",1140,1220,10
"Geoff Neal",1140,1140,12
"Cory Sandhagen",1140,1140,14
"Zak Cummings",1140,1147,14
"Joanna Jedrzejczyk",1140,1140,15
"James Vick",1140,1140,14
"Michael Bisping",1140,1140,29
"John Hathaway",1139,1139,9
"Andre Petroski",1138,1138,10
"Nazim Sadykhov",1137,1137,3
"Colby Covington",1137,1137,17
"Fabricio Werdum",1137,1166,18
"Jens Pulver",1137,1137,8
"Jasmine Jasudavicius",1136,1148,9
"Sean Woodson",1136,1174,8
"Amir Albazi",1136,1136,6
"TJ Dillashaw",1136,1171,18
"Michel Prazeres",1136,1187,14
"Rory MacDonald",1136,1163,13
"Yushin Okami",1135,1135,21
"Chepe Mariscal",1134,1134,5
"Bo Nickal",1134,1134,4
"Nate Quarry",1134,1134,10
"Guy Mezger",1134,1134,5
"Diego Ferreira",1132,1140,16
"Gilbert Burns",1132,1132,23
"Azamat Murzakanov",1132,1132,4
"Diego Brandao",1132,1132,10
"Tagir Ulanbekov",1131,1131,6
"Alexander Volkov",1131,1131,17
"Julianna Pena",1131,1131,11
"Myles Jury",1131,1131,12
"Rashid Magomedov",1131,1131,6
"Francis Carmont",1131,1131,9
"Alexandr Romanov",1130,1130,10
"Martin Kampmann",1130,1130,17
"Miranda Maverick",1129,1136,11
"Derek Brunson",1129,1130,21
"Gegard Mousasi",1129,1174,12
"Chas Skelly",1128,1164,11
"Mirsad Bektic",1128,1128,10
"Rustam Khabilov",1128,1152,13
"Karo Parisyan",1128,1128,12
"Dominick Reyes",1127,1127,12
"John Lineker",1127,1200,16
"Sean Sherk",1127,1127,12
"Mark Coleman",1127,1127,12
"Roman Dolidze",1126,1140,12
"Yair Rodriguez",1126,1126,14
"Nate Diaz",1126,1126,27
"Patrick Smith",1126,1126,5
"Mario Bautista",1125,1180,11
"Bryan Caraway",1125,1125,10
"Mike Swick",1125,1125,15
"Aljamain Sterling",1124,1186,21
"Farid Basharat",1124,1124,4
"Brandon Royval",1124,1124,10
"Rani Yahya",1124,1135,19
"Matt Hamill",1124,1143,15
"Jiri Prochazka",1123,1123,7
"Diego Lopes",1123,1161,6
"Chris Gutierrez",1123,1162,12
"Ricardo Lamas",1123,1123,17
"Johny Hendricks",1123,1123,21
"Josh Koscheck",1123,1141,25
"Tim Sylvia",1123,1124,13
"Pedro Rizzo",1123,1123,14
"Kyler Phillips",1122,1122,8
"Waldo Cortes-Acosta",1121,1121,7
"Olivier Aubin-Mercier",1121,1159,12
"Erik Perez",1121,1121,9
"Karine Silva",1120,1120,5
"Joe Pyfer",1120,1120,5
"Shane Burgos",1120,1120,11
"Chris Wade",1120,1120,7
"Ryan Bader",1120,1132,20
"Michael McDonald",1120,1120,9
"Daniel Marcos",1119,1119,4
"Yan Xiaonan",1119,1119,12
"Beneil Dariush",1119,1184,22
"Jacare Souza",1119,1119,16
"Oleg Taktarov",1119,1144,8
"Raoni Barcelos",1118,1118,12
"Chase Hooper",1118,1138,10
"Charles Oliveira",1118,1254,33
"Claudio Silva",1118,1118,8
"Adrian Yanez",1117,1117,9
"Paulo Costa",1117,1117,10
"Andre Muniz",1117,1117,8
"Tom Breese",1117,1117,8
"Diego Sanchez",1117,1117,32
"Brett Johns",1117,1117,7
"Sergio Moraes",1117,1142,13
"TJ Grant",1117,1135,11
"Joshua Van",1116,1116,7
"Gregory Rodrigues",1116,1116,10
"Michel Pereira",1116,1187,12
"Tracy Cortez",1116,1116,6
"Andre Lima",1115,1115,4
"Mackenzie Dern",1115,1115,15
"Ignacio Bahamondes",1114,1160,8
"Mateusz Gamrot",1114,1162,10
"Thales Leites",1114,1137,21
"Sage Northcutt",1114,1114,8
"Nursulton Ruziboev",1113,1113,4
"Jose Aldo",1113,1113,22
"Damir Ismagulov",1113,1113,7
"Josh Barnett",1113,1130,10
"Matt Mitrione",1113,1113,14
"Krzysztof Soszynski",1113,1113,9
"Laverne Clark",1113,1113,5
"Ryan Hall",1112,1112,6
"Cheick Kongo",1112,1115,17
"Nathaniel Wood",1111,1111,12
"Youssef Zalal",1111,1133,10
"Khaos Williams",1111,1111,9
"Raquel Pennington",1111,1132,19
"Taylor Lapilus",1111,1111,8
"Macy Chiasson",1111,1111,11
"Shane Carwin",1111,1111,6
"Henry Cejudo",1110,1132,15
"Manuel Torres",1110,1110,4
"Loma Lookboonmee",1110,1117,8
"Dominick Cruz",1110,1110,10
"Dan Severn",1110,1130,13
"Ricky Simon",1109,1115,14
"Alexander Gustafsson",1109,1120,18
"Travis Browne",1109,1109,16
"Ryan LaFlare",1108,1108,10
"Jerry Bohlander",1108,1125,7
"Mauricio Ruffy",1107,1107,3
"Hyder Amil",1107,1107,3
"Sodiq Yusuff",1107,1107,9
"Nik Lentz",1107,1107,23
"Jared Rosholt",1107,1107,8
"Drakkar Klose",1106,1116,12
"Casey O'Neill",1106,1106,7
"Abel Trujillo",1106,1106,10
"Stephen Thompson",1105,1108,20
"BJ Penn",1105,1105,25
"Chris Padilla",1104,1104,3
"Joanderson Brito",1104,1145,7
"Raul Rosas Jr.",1104,1104,5
"Virna Jandiroba",1104,1136,10
"Jordan Johnson",1104,1104,4
"Marcus Davis",1104,1143,15
"Nate Maness",1103,1103,7
"Alejandro Perez",1103,1155,12
"Michael Graves",1103,1103,2
